# STATION: MTMET
# STATION NAME: U of U Mountain Met Lab
# LATITUDE: 40.766573
# LONGITUDE: -111.828211
# ELEVATION [ft]: 4996
# STATE: UT
Station_ID,Date_Time,ozone_concentration_set_1
,,ppb
MTMET,2017-09-02T07:31:00Z,
MTMET,2017-09-02T07:32:00Z,
MTMET,2017-09-02T07:33:00Z,
MTMET,2017-09-02T07:34:00Z,
MTMET,2017-09-02T07:35:00Z,60.67
MTMET,2017-09-02T07:36:00Z,
MTMET,2017-09-02T07:37:00Z,
MTMET,2017-09-02T07:38:00Z,
MTMET,2017-09-02T07:39:00Z,
MTMET,2017-09-02T07:40:00Z,60.38
MTMET,2017-09-02T07:41:00Z,
MTMET,2017-09-02T07:42:00Z,
MTMET,2017-09-02T07:43:00Z,
MTMET,2017-09-02T07:44:00Z,
MTMET,2017-09-02T07:45:00Z,61.39
MTMET,2017-09-02T07:46:00Z,
MTMET,2017-09-02T07:47:00Z,
MTMET,2017-09-02T07:48:00Z,
MTMET,2017-09-02T07:49:00Z,
MTMET,2017-09-02T07:50:00Z,62.7
MTMET,2017-09-02T07:51:00Z,
MTMET,2017-09-02T07:52:00Z,
MTMET,2017-09-02T07:53:00Z,
MTMET,2017-09-02T07:54:00Z,
MTMET,2017-09-02T07:55:00Z,60.8
MTMET,2017-09-02T07:56:00Z,
MTMET,2017-09-02T07:57:00Z,
MTMET,2017-09-02T07:58:00Z,
MTMET,2017-09-02T07:59:00Z,
MTMET,2017-09-02T08:00:00Z,60.89
MTMET,2017-09-02T08:01:00Z,
MTMET,2017-09-02T08:02:00Z,
MTMET,2017-09-02T08:03:00Z,
MTMET,2017-09-02T08:04:00Z,
MTMET,2017-09-02T08:05:00Z,59.01
MTMET,2017-09-02T08:06:00Z,
MTMET,2017-09-02T08:07:00Z,
MTMET,2017-09-02T08:08:00Z,
MTMET,2017-09-02T08:09:00Z,
MTMET,2017-09-02T08:10:00Z,59.79
MTMET,2017-09-02T08:11:00Z,
MTMET,2017-09-02T08:12:00Z,
MTMET,2017-09-02T08:13:00Z,
MTMET,2017-09-02T08:14:00Z,
MTMET,2017-09-02T08:15:00Z,61.99
MTMET,2017-09-02T08:16:00Z,
MTMET,2017-09-02T08:17:00Z,
MTMET,2017-09-02T08:18:00Z,
MTMET,2017-09-02T08:19:00Z,
MTMET,2017-09-02T08:20:00Z,62.45
MTMET,2017-09-02T08:21:00Z,
MTMET,2017-09-02T08:22:00Z,
MTMET,2017-09-02T08:23:00Z,
MTMET,2017-09-02T08:24:00Z,
MTMET,2017-09-02T08:25:00Z,63.99
MTMET,2017-09-02T08:26:00Z,
MTMET,2017-09-02T08:27:00Z,
MTMET,2017-09-02T08:28:00Z,
MTMET,2017-09-02T08:29:00Z,
MTMET,2017-09-02T08:30:00Z,63.85
MTMET,2017-09-02T08:31:00Z,
MTMET,2017-09-02T08:32:00Z,
MTMET,2017-09-02T08:33:00Z,
MTMET,2017-09-02T08:34:00Z,
MTMET,2017-09-02T08:35:00Z,63.49
MTMET,2017-09-02T08:36:00Z,
MTMET,2017-09-02T08:37:00Z,
MTMET,2017-09-02T08:38:00Z,
MTMET,2017-09-02T08:39:00Z,
MTMET,2017-09-02T08:40:00Z,63.85
MTMET,2017-09-02T08:41:00Z,
MTMET,2017-09-02T08:42:00Z,
MTMET,2017-09-02T08:43:00Z,
MTMET,2017-09-02T08:44:00Z,
MTMET,2017-09-02T08:45:00Z,61.75
MTMET,2017-09-02T08:46:00Z,
MTMET,2017-09-02T08:47:00Z,
MTMET,2017-09-02T08:48:00Z,
MTMET,2017-09-02T08:49:00Z,
MTMET,2017-09-02T08:50:00Z,59.23
MTMET,2017-09-02T08:51:00Z,
MTMET,2017-09-02T08:52:00Z,
MTMET,2017-09-02T08:53:00Z,
MTMET,2017-09-02T08:54:00Z,
MTMET,2017-09-02T08:55:00Z,55.09
MTMET,2017-09-02T08:56:00Z,
MTMET,2017-09-02T08:57:00Z,
MTMET,2017-09-02T08:58:00Z,
MTMET,2017-09-02T08:59:00Z,
MTMET,2017-09-02T09:00:00Z,58.87
MTMET,2017-09-02T09:01:00Z,
MTMET,2017-09-02T09:02:00Z,
MTMET,2017-09-02T09:03:00Z,
MTMET,2017-09-02T09:04:00Z,
MTMET,2017-09-02T09:05:00Z,61.72
MTMET,2017-09-02T09:06:00Z,
